"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Antigua-et-Barbuda","ATG","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","3263.4283419374","3688.44878670584","4558.43524895912","5468.78164249719","6133.94620136456","6803.46848890865","7518.79053021037","8607.55002906888","10000.2244035174","12118.1292495982","14146.5374885398","16822.2604013629","18617.5424130995","19589.5970186963","20438.9163026055","20848.7604200498","21948.6891271987","23727.6359732824","22788.0932191","24514.5992721854","25803.4485663737","27079.5899244888","28023.7330840818","29727.5331423623","28357.9347897396","28484.0987110564","29616.0102465578","31457.2908881316","34581.6274148919","38638.8528339205","43216.5674990246","44434.1809707991","39232.6164620153","36192.1932434798","35416.2967404213","36953.4867805735","36045.402669017","37812.990272984","40127.08331017","42829.1594894218","43497.8434794061","47288.7608320782","49107.0052216203","41268.8854355521","45198.940130231","50611.968473705",
"Australie","AUS","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","1616.60460097366","1676.42850329104","1655.92999441445","1756.34703196347","1903.01782036357","2036.61749209694","2092.69590593082","2303.66980252564","2432.2591389791","2670.8798825736","2950.74758135444","3120.66166808379","3380.73916672991","3723.54260089686","4398.60088901844","5128.91384150291","5939.4997505879","6778.74859075536","7317.03579885778","8181.8244453631","9162.19711407569","10209.3644418177","11581.4765131257","12304.5665071532","13715.8121264175","14915.5907230615","16285.1979136428","17606.7522411942","19632.6385341931","21902.6340254696","23715.4974753193","24030.2670047667","24217.5089759584","25190.8044589995","26206.6124855578","27537.6422905743","29022.4835247551","30213.6938660005","31665.5832374584","33031.005731155","34797.7765494643","36674.8101565882","38780.5004408775","40703.0426905445","43326.7468437076","45840.965019108","48843.8541240546","52251.9565603793","55491.6446497583","58144.9924540098","59188.0808378817","63491.5611549925","65989.7644287837","66434.1676752149","68095.8588388003","68160.284716217","68519.0513939804","71513.9283640917","73803.8750343809","76819.1132696299","77156.4491049","80987.7219701792","88881.6650875026",
"Autriche","AUT","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","1767.54658668792","1949.6079541662","2055.45595371805","2205.04015838767","2398.54708289999","2597.16982393762","2809.61781879595","2965.8762591504","3169.95356826864","3449.05559117625","3890.04412162924","4323.38068406804","4912.10971181706","5536.10893059227","6290.42057692039","6690.01015054553","7402.9126861652","8180.24491208877","8659.23141158681","9514.64303572789","10219.5476137082","10862.4872666544","11666.0074939201","12450.1316466343","13073.9076741264","13791.1646883636","14515.6691186048","15061.6766381687","15773.2947746284","16796.3917109726","17915.0017257435","19015.6586340156","19869.2990646637","20356.1154432542","21289.3262171757","22219.7499886139","22935.1036692094","23685.0889697982","24614.7428495351","25505.7953106005","26662.2630332197","27420.6721888894","28054.4947220085","28549.4869556727","29656.0533903347","30879.9599505532","32390.3831355116","34232.8268370501","35301.5743803758","34523.8965337912","35379.9290336805","36956.8462338067","37799.9264767898","38197.754835213","38981.0663164511","39833.5323259551","40931.8460996801","41984.5523182207","43580.4733680289","44726.7024928153","42732.7903621722","45350.3658021726","49505.2600334774",
"Azerbaïdjan","AZE","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.040862972460698","0.0734944232805688","0.652948706660074","4.18957143619576","49.3250225431281","277.663194467036","352.003091588304","402.934328453418","434.803487931252","472.90720616329","586.201326938846","655.340763388894","741.866996249365","867.91513340863","1026.93071690845","1492.22161978586","2209.45129676883","3304.91883514153","4580.09448387612","3979.04695334641","4690.02020248429","5677.69916370528","5889.08907521948","6178.53132926989","6189.15690158414","5635.6180178522","6192.49479289005","7137.97081864857","8057.73090748268","8169.78132002059","7190.84810337655","9193.67709797539","13152.3920945186",
"Burundi","BDI","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","3568.01121229377","3604.43910663884","3697.10039973706","3947.41346472496","4298.23623138571","4302.31670608127","4533.25600664876","4764.40169516319","4781.65324691557","4860.08032288011","6072.07203086253","6176.2332952734","6033.59135224541","6819.3870836775","7428.76018570329","8842.53095033863","10095.7245172074","12547.1937359514","13596.1192352348","17021.3347055194","19192.8091830105","19420.8842501118","19814.1308932047","21296.4925888172","24404.0602461491","28049.7831053366","27213.2091795912","27105.5179090029","28825.6092749401","32890.3918475493","35354.7261904306","37873.9078305893","39282.0227978517","41024.4775544443","41837.4390126894","42115.9841511142","44363.8292645131","57867.6545807448","66309.4374136337","73687.1741599759","99455.7874958047","112600.837167781","115542.55151725","123816.009293898","141509.234735895","163522.073864029","171045.638721421","184682.594196895","230866.614585529","251626.697052346","274039.141608517","298182.488866807","343613.415944233","375628.560677947","398764.525251424","454843.915642816","449138.230927129","491687.712163755","471092.199119639","468182.0791071","483671.292202674","526864.827813854","569173.959632186",
"Belgique","BEL","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","1578.69957040425","1673.52629784054","1783.00296922818","1902.61220934426","2109.38335419929","2275.16027687787","2426.41414042077","2586.31776524996","2754.5451341109","3046.71282533585","3428.32189034513","3749.14872716905","4180.69356608381","4735.30967837302","5536.55548334553","6109.64573959003","6931.59630552441","7487.3423734924","8033.22220340923","8583.95561829344","9325.11546019461","9777.22740542583","10582.8570814026","11212.6019733104","12114.1918336517","12880.3297685566","13477.1030670496","14008.2313144754","14940.4820240315","16141.6803108406","17065.3508811093","17811.7657418882","18627.977479299","19110.7035319142","20078.5753454342","20764.8243614289","21098.233598385","22011.2078630855","22799.5312754827","23694.276559566","25009.2817949031","25697.0885338845","26445.5226737032","27100.6742107103","28482.4678919392","29587.6450107872","30826.0139071468","32338.4718183273","32842.5757936084","32091.2355521372","33329.1022621454","34060.4102239265","34768.8002411467","35206.1717974799","35953.3634274498","36960.6311616367","37955.1039578263","39124.7400695445","40259.7904936828","41663.9336129056","39851.2159703202","43347.121595949","47085.0287151592",
"Bénin","BEN","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","22076.3447524245","22655.8675549228","22338.2539326311","23583.9666090743","24617.4126709708","25968.3366333521","26687.6129313121","26490.0849550539","27845.5737211061","29036.3672620853","30500.2431334078","29874.7213183866","32763.4970510783","34833.1994063296","40441.3366528579","42934.2273351638","48228.0728797753","51959.5051564182","57630.7888225417","67607.281733922","77440.1952665392","89009.7229808739","102752.944897932","100059.305971004","106986.378512347","106300.373001607","101661.433757922","100145.730526893","99880.994547589","96239.9966062076","103952.072702423","105872.464871834","108911.789541458","112872.292834735","149789.000799204","179105.929171385","194690.862978855","207285.550035337","219979.652464095","333403.303690944","357233.178570576","372312.497946143","391517.217335329","405005.45226086","413495.809896291","424919.985093416","437339.209588044","452138.073658604","490130.263744252","499319.16157337","499489.609568788","518097.483339125","568029.428171021","599740.123177152","617939.651303401","615837.156925185","622129.406660785","635978.507299311","663446.475892543","686081.601828217","712546.288697816","754772.117163369","812897.373417418",
"Burkina Faso","BFA","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","16938.8610568652","17701.3452554415","18885.0143882715","19314.4150515207","19806.4930416218","20093.410262142","20332.15468766","20801.714174336","21023.0268830323","22542.5115401413","22578.7454028804","23272.5736725211","25118.8540506983","25458.0734399031","30042.7196704098","32817.4820850365","37217.7319245618","43312.7071492569","50621.0525467639","55102.6716093286","58777.0112997797","67738.7011579608","78740.4645868642","80971.5742703936","82294.5662606709","87412.1471553799","85916.0256545368","84436.5602900108","89936.30882577","93802.3883239047","92469.7861578356","94438.0112404998","92564.8688370281","92071.3507874686","104275.846534861","114720.610497386","124576.789499501","131098.762020465","147732.150975314","180879.889780722","177411.426826543","190748.19886326","198924.844895244","210977.325832727","213809.878188844","233546.15539336","238927.219294002","247334.130993719","277363.086719461","283999.63797495","310369.792518325","342886.378874073","374734.505594689","376501.550366719","378895.225957386","373720.691276144","394548.716717981","412954.105640401","432805.417893432","452421.077568204","479603.778200671","495238.700346953","519519.640450491",
"Bangladesh","BGD","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","407.16161853452","445.704542099517","456.229465074046","463.450608109414","455.36427688046","484.645804125079","512.907472943906","560.622338598138","561.314567120904","617.318045352911","639.086137100755","614.378173143394","544.07019338554","884.432832479802","1366.37775142438","2310.88005684579","1966.993658556","1910.76921322626","2510.01710713551","2892.34474966966","3345.38050952484","3840.52730365594","4192.28266493168","4595.40670432858","5057.1962209475","6036.31136636662","6647.08857416658","7495.64216454976","8075.51294306753","8807.90008365996","9702.3636551771","10116.7475845601","10743.2550541734","11053.678131916","11712.360662953","12947.913068734","15844.0409037046","16880.0808356487","18249.2191766608","19447.6937619352","20783.0703206521","22126.2192671822","23429.313230211","25517.3640390541","27616.8859041979","30307.731906709","33817.634389782","38144.5268186905","43231.7770631126","48059.9230533334","53745.7091693325","60969.4875551895","69379.9418878146","77836.920725625","86154.3478167619","96040.1888107457","129913.741106713","143658.461819997","161240.486376802","178316.588207288","189371.125959021","208447.268946689","232011.249119761",
"Bulgarie","BGR","PIB par habitant (monnaies locales courantes)","NY.GDP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","2.91044384522546","3.12874074202375","3.25350601634524","3.33506418197043","3.53443081712893","3.63764622851708","3.84272637796264","4.0719917684712","4.26936820641131","4.45863747232728","5.2063656068295","15.7199062551442","23.5124290353206","35.2796219875257","62.2483964464882","151.756701439567","261.531090088446","2289.72585402333","3204.64137014088","3050.06489153565","3442.38530106833","3868.91479761503","4347.07313018069","4712.0733314496","5339.12718385457","6138.84474313263","7052.79316386665","8415.06212180289","9722.58337302826","9830.34795215707","10124.6264163322","11039.8509701799","11312.232681366","11320.0988559713","11648.8127389798","12482.5671974233","13382.8385445091","14519.7018858394","15653.2102250849","17259.1970969189","17385.7979828426","20211.9110876926","25580.9983980132",
